id,sentence
1,The overall risk environment Risks to financial stability have increased during 2025.
2,"By some industry estimates, AI infrastructure spending over the next five years could exceed five trillion US dollars."
3,"The Committee judges that the benchmark for system-wide Tier 1 capital requirements, previously judged to be around 14% of risk-weighted assets (RWAs), is now around 13% of RWAs."
4,"In response to the Chancellor’s request in the FPC’s November 2024 remit letter, the FPC has assessed and identified areas where the financial sector could contribute further to supporting sustainable growth through higher productivity growth, investment and innovation."
5,Incentives in the financial system led to unsustainable lending growth in boom times followed by periods of deleveraging during the resulting downturn.
6,"Lending to small and medium-sized enterprises (SMEs) has been weak since the GFC, reflecting both the small share of SMEs seeking credit and historical barriers these firms face in accessing finance."
7,"The FPC supports: The changes made by the Prudential Regulation Authority (PRA) to Solvency II to encourage investment in productive assets by UK insurers, particularly through its reforms to the Matching Adjustment (MA) regime and its introduction of a Matching Adjustment Investment Accelerator (MAIA)."
8,"In line with easing monetary policy and a competitive mortgage market, quoted mortgage rates have continued to decrease."
9,"And, continuing the trend from July, growth in mortgage lending has risen to 3.2% year on year, above the post-GFC historical average of 2.2%."
10,"While it remains too early to assess the full impact of these policy changes in the mortgage market, recent indicators suggest a higher supply of credit to households with net mortgage approvals reaching a nine-month high."
11,"The corporate net debt-to-earnings ratio, at 134%, remains well below Covid (166%) and post-GFC (230%) highs."
12,"In markets serving higher-risk borrowers, such as leveraged loans and private credit, a larger proportion of outstanding debt has shorter maturity and therefore requires refinancing over the next few years, leaving corporates in such funding markets more exposed to a tightening of credit conditions or a deterioration in investor risk sentiment."
13,"Major UK banks continue to report robust earnings, and their average price-to-tangible book (PtTB) ratios have increased further above 1 since the July FSR."
14,"In the stress test, the aggregate Common Equity Tier 1 (CET1) capital ratio starts at 14.5% and falls to a low point of 11.0% in the first year."
15,No individual bank was required to strengthen its capital position as a result of the test.
16,"The FPC’s assessment of bank capital requirements The Committee judges that the updated appropriate benchmark for the system-wide level of Tier 1 capital requirements is now around 13% of RWAs (equivalent to a CET1 ratio of around 11%), 1 percentage point lower than its previous benchmark of around 14%."
17,That analysis also suggested that materially lower capital requirements could lead to significant reductions in long-run expected GDP.
18,"As a result: With the PRA and international authorities, the FPC will work to enhance the usability of regulatory buffers and so reduce banks’ incentives to have capital in excess of regulatory requirements."
