source_file,sentence_id,sentence
financial-stability-report-december-2025.pdf,1,Bank of England Financial Stability Report Financial Policy Committee December 2025 Financial Stability Report Presented to Parliament pursuant to Section 9W(10) of the Bank of England Act 1998 as amended by the Financial Services Act 2012.
financial-stability-report-december-2025.pdf,2,December 2025 Financial Stability Report December 2025
financial-stability-report-december-2025.pdf,3,"The primary responsibility of the Financial Policy Committee (FPC), a committee of the Bank of England, is to contribute to the Bank of England’s financial stability objective."
financial-stability-report-december-2025.pdf,4,"It does this primarily by identifying, monitoring and taking action to remove or reduce systemic risks, with a view to protecting and enhancing the resilience of the UK financial system."
financial-stability-report-december-2025.pdf,5,"Subject to that, it supports the economic policy of His Majesty’s Government, including its objectives for growth and employment."
financial-stability-report-december-2025.pdf,6,"This Financial Stability Report sets out the FPC’s view of the outlook for UK financial stability, including its assessment of the resilience of the UK financial system and the main risks to UK financial stability, and the action it is taking to remove or reduce those risks."
financial-stability-report-december-2025.pdf,7,It also reports on the activities of the Committee over the reporting period and on the extent to which the Committee’s previous policy actions have succeeded in meeting the Committee’s objectives.
financial-stability-report-december-2025.pdf,8,The Report meets the requirement set out in legislation for the Committee to prepare and publish a Financial Stability Report twice per calendar year.
financial-stability-report-december-2025.pdf,9,"In addition, the Committee has a number of duties, under the Bank of England Act 1998."
financial-stability-report-december-2025.pdf,10,"In exercising certain powers under this Act, the Committee is required to set out an explanation of its reasons for deciding to use its powers in the way they are being exercised and why it considers that to be compatible with its duties."
financial-stability-report-december-2025.pdf,11,"The Financial Policy Committee: Andrew Bailey, Governor Sarah Breeden, Deputy Governor responsible for financial stability Clare Lombardelli, Deputy Governor responsible for monetary policy Dave Ramsden, Deputy Governor responsible for markets and banking Sam Woods, Deputy Governor responsible for prudential regulation Nathanaël Benjamin, Executive Director of financial stability strategy and risk Nikhil Rathi, Chief Executive of the Financial Conduct Authority Stephen Blyth Jon Hall Randall Kroszner Liz Oakes Carolyn Wilkins Gwyneth Nurse attends as the Treasury member in a non-voting capacity."
financial-stability-report-december-2025.pdf,12,"This document, unless otherwise stated, uses data available as at 24 November 2025."
financial-stability-report-december-2025.pdf,13,The ‘Results of the 2025 Bank Capital Stress Test’ section and Boxes E and F have been produced by Bank staff under the guidance of the FPC and Prudential Regulation Committee (PRC).
financial-stability-report-december-2025.pdf,14,They set out the judgements and actions taken by the PRC and FPC that were informed by the test results and analysis.
financial-stability-report-december-2025.pdf,15,"Annex 2 of this Report, setting out the individual bank results and qualitative narrative, have been formally approved by the PRC."
financial-stability-report-december-2025.pdf,16,"The sections and annexes were finalised on 25 November 2025, except Section 5, Boxes E and F and Annexes 2 and 3 which were finalised on 1 December 2025."
financial-stability-report-december-2025.pdf,17,PowerPoint™ versions of the Report charts and Excel spreadsheets of the data underlying most of them are available at www.bankofengland.co.uk/financial-stability- report/2025/december-2025.
financial-stability-report-december-2025.pdf,18,"©2025 Bank of England ISSN 1751-7044 Financial Stability Report Summary The Financial Policy Committee (FPC) seeks to ensure the UK financial system is prepared for, and resilient to, the wide range of risks it could face so that the system is able to absorb rather than amplify shocks and serve UK households and businesses."
financial-stability-report-december-2025.pdf,19,The overall risk environment Risks to financial stability have increased during 2025.
financial-stability-report-december-2025.pdf,20,Global risks remain elevated and material uncertainty in the global macroeconomic outlook persists.
financial-stability-report-december-2025.pdf,21,"Key sources of risk include geopolitical tensions, fragmentation of trade and financial markets, and pressures on sovereign debt markets."
financial-stability-report-december-2025.pdf,22,Elevated geopolitical tensions increase the likelihood of cyberattacks and other operational disruptions.
financial-stability-report-december-2025.pdf,23,"In the FPC’s judgement, many risky asset valuations remain materially stretched, particularly for technology companies focused on Artificial Intelligence (AI)."
financial-stability-report-december-2025.pdf,24,"Equity valuations in the US are close to the most stretched they have been since the dot-com bubble, and in the UK since the global financial crisis (GFC)."
financial-stability-report-december-2025.pdf,25,This heightens the risk of a sharp correction.
financial-stability-report-december-2025.pdf,26,The role of debt financing in the AI sector is increasing quickly as AI-focused firms seek large-scale infrastructure investment.
financial-stability-report-december-2025.pdf,27,"By some industry estimates, AI infrastructure spending over the next five years could exceed five trillion US dollars."
financial-stability-report-december-2025.pdf,28,"While AI hyperscalers will continue to fund much of this from their operating cash flows, approximately half is expected to be financed externally, mostly through debt."
financial-stability-report-december-2025.pdf,29,"Deeper links between AI firms and credit markets, and increasing interconnections between those firms, mean that, should an asset price correction occur, losses on lending could increase financial stability risks."
financial-stability-report-december-2025.pdf,30,Credit spreads remain compressed by historical standards.
financial-stability-report-december-2025.pdf,31,Two recent high-profile corporate defaults in the US have intensified focus on potential weaknesses in risky credit markets previously flagged by the FPC.
financial-stability-report-december-2025.pdf,32,"These include high leverage, weak underwriting standards, opacity, complex structures, and the degree of reliance on credit rating agencies, and illustrate how corporate defaults could impact bank resilience and credit markets simultaneously."
financial-stability-report-december-2025.pdf,33,"While the impact of these specific defaults has been limited, a diverse range of financial market participants were exposed."
financial-stability-report-december-2025.pdf,34,"Such diversity can help absorb risks, but opacity around the extent of exposures, and their possible interconnections, can also create uncertainty about how widely shocks in credit markets can propagate."
financial-stability-report-december-2025.pdf,35,"It is important that market participants have a clear understanding of their exposures, including in stress scenarios where correlations and losses can shift outside historical norms."
financial-stability-report-december-2025.pdf,36,Market participants should also ensure that underwriting standards are robust and that they do not over-rely on credit ratings as a substitute to carrying out appropriate due diligence.
financial-stability-report-december-2025.pdf,37,Private markets have grown significantly in the UK over the past two decades and are an important source of funding for corporates.
financial-stability-report-december-2025.pdf,38,"While resilient to date, the private markets ecosystem has not been tested through a broad-based macroeconomic stress at its current size."
financial-stability-report-december-2025.pdf,39,"In order to enhance understanding of the broader risks and dynamics of private markets, the FPC supports the next system-wide exploratory scenario (SWES), focused on the resilience of the private markets ecosystem."
financial-stability-report-december-2025.pdf,40,Public debt-to-GDP ratios in many advanced economies have continued to rise this year.
financial-stability-report-december-2025.pdf,41,"Governments globally face spending pressures, given the context of changing demographics and geopolitical risk, potentially constraining their capacity to respond to future shocks."
financial-stability-report-december-2025.pdf,42,"Significant shocks to the global economic or fiscal outlook, should they materialise, could be amplified by vulnerabilities in market-based finance (MBF), such as leveraged positions in sovereign debt markets."
financial-stability-report-december-2025.pdf,43,"As an open economy with a large financial centre, the UK is exposed to global shocks, which could transmit through multiple, interconnected channels."
financial-stability-report-december-2025.pdf,44,"Stress in one market, such as a sharp asset price correction or correlation shift, could spillover into other markets."
financial-stability-report-december-2025.pdf,45,"Simultaneous de-risking by banks and non-banks can lead to fire sales, widening spreads and tightening financing conditions for UK households and corporates."
financial-stability-report-december-2025.pdf,46,Market participants should ensure their risk management incorporates such scenarios.
financial-stability-report-december-2025.pdf,47,UK household and corporate aggregate indebtedness remains low.
financial-stability-report-december-2025.pdf,48,"The UK banking system is well capitalised, maintains robust liquidity and funding positions, and asset quality remains strong."
financial-stability-report-december-2025.pdf,49,The results of the 2025 Bank Capital Stress Test demonstrate that the UK banking system is able to continue to support the economy even if economic and financial conditions turn out to be materially worse than expected.
financial-stability-report-december-2025.pdf,50,This underscores the role of financial stability as a pre-condition for sustainable growth.
