Sentence_ID,Original_Sentence,Extracted_Cause,Extracted_Effect,Extracted_Polarity,VERDICT,COMMENTS
219,"Looking forward, there may be further increases in lending at higher LTV and LTI ratios as the full impact of the FCA clarification feeds through, along with effect of the adjustment made by the PRA to the application of the LTI flow limit, following the FPC’s updated recommendation in Q2 (Section 3).",Pra Adjustment,High Lti Lending,positive,Partial,Cause entity too vague/acronym-based; relation otherwise supported.
299,"In the 2025 stress test, SMAs support the aggregate CET1 capital ratio by 0.8 percentage points and the aggregate leverage ratio by 0.3 percentage points.",Management Actions,Leverage Ratio,positive,Partial,Cause entity is overly generic ('management actions').
130,"In normal times, hedge funds serve a useful function by warehousing risk and intermediating between different types of market participants, thereby improving market liquidity and price discovery, but their use of leverage introduces risk.",Hedge Fund Leverage,Financial Risk,positive,Correct,Causal relation and polarity supported by sentence.
96,"For example, Bank of England survey evidence suggests that many SMEs do not intend to expand their business and so do not need external finance for growth, and around 70% would prefer slower growth over taking on debt.",Business Expansion Plans,External Finance Demand,positive,Correct,Causal relation and polarity supported by sentence.
84,"Following this, a series of energy and supply shocks that increased inflation and nominal GDP resulted in a large reduction in debt-to-GDP ratios.",Nominal Gdp Growth,Debt-To-Gdp Ratio,negative,Correct,Causal relation and polarity supported by sentence.
304,"In aggregate, this additional drawdown is worth around 0.5 percentage points of CET1 capital, taking into account each bank’s proportion of UK exposures in its risk-weighted assets.",Additional Drawdown,Cet1 Capital,negative,Correct,Causal relation and polarity supported by sentence.
30,"Because the financial sector plays a role in driving UK productivity growth, actions to support financial stability in turn support economic growth.",Financial Stability,Economic Growth,positive,Correct,Causal relation and polarity supported by sentence.
337,"The SWES will improve the Bank’s understanding of the behaviours of banks and NBFIs active in the private markets ecosystem in response to a downturn, and whether those behaviours will amplify stress across the financial system and pose risks to UK financial stability.",Bank Behaviors,Financial System Stress,positive,Wrong,Sentence only states SWES improves understanding; no direct stress effect.
187,"The share of SMEs in arrears is highest in the accommodation and food, construction, and retail trade sectors, which are more exposed to increased input costs and increased labour market costs associated with a higher minimum wage and the increase in employer’s national insurance contributions (NICs).",National Insurance Contributions,Labour Market Costs,positive,Correct,Causal relation and polarity supported by sentence.
124,"Yields on developed market long-term government bonds have risen over recent years reflecting interest rate increases and higher term-premia, as concerns about the sustainability of fiscal deficits globally remain in focus.",Higher Term-Premia,Government Bond Yields,positive,Correct,Causal relation and polarity supported by sentence.
28,"This could be driven by both demand for finance from businesses looking to invest in capital, as well as the supply of finance to those businesses.",Business Investment Demand,Finance Demand,positive,Correct,Causal relation and polarity supported by sentence.
170,This measure provides insurance against a marked and unsustainable loosening in underwriting standards and a further significant increase in the number of very highly indebted households.,Aggregate Flow Limit,Underwriting Standards,positive,Partial,Direction is ambiguous; measure prevents loosening rather than increases it.
329,"Markets have broadly seen the defaults of First Brands and Tricolor as driven by company-specific challenges, including alleged fraud, with no material repricing in credit markets (Section 2).",Company-Specific Challenges,Corporate Defaults,positive,Correct,Causal relation and polarity supported by sentence.
355,"In the physical risk-focused scenario, losses are driven by the increased frequency and severity of extreme weather events as global temperatures rise, which would have a severe negative impact on GDP and corporate earnings.",Extreme Weather,Gdp,negative,Correct,Causal relation and polarity supported by sentence.
363,Banks could face losses on their lending secured on buy-to-let properties as an EPC rating of ‘C’ or above could become a minimum requirement for rentability as early as 2028.,Epc Rating Requirements,Bank Lending Losses,positive,Partial,Entities are somewhat broad compared with sentence wording.
290,"Third, it is assumed that banks pass through around 70% of the increase in Bank Rate to sterling deposit rates within the first year of the stress.",Bank Rate Increase,Deposit Rates,positive,Wrong,No explicit causal relationship between extracted entities.
85,"The overlapping effects of these shocks, which resulted in interest rates increases, have created a prolonged period of uncertainty, making businesses more cautious about borrowing for expansion.",Economic Uncertainty,Corporate Borrowing,negative,Correct,Causal relation and polarity supported by sentence.
183,The stressed projection assumes a 10% fall in earnings and a range of 300 to 500 basis points increase in corporate lending spreads.,Corporate Lending Spreads,Corporate Vulnerability,positive,Correct,Causal relation and polarity supported by sentence.
355,"In the physical risk-focused scenario, losses are driven by the increased frequency and severity of extreme weather events as global temperatures rise, which would have a severe negative impact on GDP and corporate earnings.",Extreme Weather,Corporate Earnings,negative,Partial,Effect entity slightly overstated.
220,"This is supported by evidence from the most recent Credit Conditions Survey – 2025 Q3 (CCS), where lenders reported expectations of further increases in mortgage availability in Q4.",Lender Expectations,Mortgage Availability,positive,Correct,Causal relation and polarity supported by sentence.
25,"And Adler et al (2017) find that population ageing, slowing human capital accumulation, and lower global trade all contributed to this slowdown.",Lower Global Trade,Productivity Slowdown,positive,Partial,Cause/effect extraction too abstract.
147,"Additionally, weaker US demand could lead to lower US incomes and earnings, putting pressure on the debt servicing burdens of US households and businesses and consequently increasing the defaults and losses on the US exposures of UK lenders.",Debt Servicing Burdens,Loan Defaults,positive,Correct,Causal relation and polarity supported by sentence.
164,Borrowing costs have decreased following recent reductions in Bank Rate.,Bank Rate Reductions,Borrowing Costs,negative,Correct,Causal relation and polarity supported by sentence.
300,"The earlier recognition of losses under IFRS 9 enhances transparency and market confidence in measures of banks’ capital positions, including in a downturn, thereby supporting financial stability and the safety and soundness of individual banks.",Ifrs 9,Market Confidence,positive,Partial,Sentence discusses correlation more than direct causation.
150,"If access to power – for example due to delays connecting new AI data centres to the electricity grid – acts as a bottleneck to the operation of AI data centre projects, it can also weigh on their credit risk and be a trigger for re-evaluating future AI company/project earnings.",Power Access Bottlenecks,Earnings Re-Evaluation,positive,Partial,Entity boundaries are too verbose.
